dpd_5_cnt,dpd_15_cnt,dpd_30_cnt,close_loans_cnt,payment_type_1,payment_type_2,payment_type_3,past_billings_cnt,age,gender,bad_flag,score_combined,has_overdue_info
4.0,0.0,0.0,5.0,14,0,2,14.0,24,0,1,,1
,,,0.0,0,0,3,2.0,27,0,0,605.1305884481358,0
,,,1.0,0,0,6,6.0,26,1,0,518.0526997945353,0
,,,2.0,0,6,0,6.0,24,0,0,,0
,,,2.0,0,8,0,8.0,23,0,0,588.5313149452869,0
1.0,1.0,1.0,0.0,0,3,0,3.0,48,0,0,470.1650349483844,1
1.0,0.0,0.0,0.0,0,4,0,3.0,30,0,0,,1
,,,0.0,0,1,0,1.0,23,0,0,590.3764062184953,0
1.0,1.0,0.0,1.0,0,3,0,3.0,36,0,0,549.7311607367926,1
,,,0.0,0,3,0,3.0,25,0,1,541.4552286673147,0
,,,1.0,3,0,0,3.0,35,0,0,611.1168235858707,0
,,,2.0,2,4,0,6.0,24,0,0,612.2197381784796,0
,,,1.0,0,5,0,5.0,41,0,1,544.6633870048768,0
,,,1.0,0,0,0,1.0,50,0,0,663.8673079361279,0
,,,1.0,0,3,0,3.0,22,1,0,555.7884523427676,0
,,,0.0,0,1,0,1.0,26,0,0,546.0506954701963,0
,,,2.0,0,9,0,8.0,19,0,0,,0
,,,1.0,0,3,0,3.0,34,0,0,623.7769534877841,0
,,,2.0,0,6,0,6.0,36,0,0,619.6558545510832,0
,,,1.0,0,3,0,3.0,32,1,0,511.0059079056492,0
,,,1.0,0,5,0,6.0,59,0,0,677.4978576974895,0
,,,0.0,1,0,0,1.0,33,0,1,516.3671984510079,0
,,,1.0,0,4,0,4.0,20,0,0,482.83277742510217,0
,,,1.0,0,3,0,3.0,48,0,0,587.2201150624518,0
,,,0.0,0,1,0,1.0,22,0,1,419.11360389660376,0
,,,0.0,0,2,0,2.0,54,1,0,503.6298649788994,0
2.0,2.0,1.0,0.0,0,2,0,3.0,47,0,0,585.9929698540457,1
,,,1.0,0,0,4,4.0,38,0,0,572.3569999753098,0
1.0,0.0,0.0,1.0,0,10,0,7.0,30,0,0,601.9791121973982,1
,,,1.0,0,3,0,3.0,63,0,0,636.5404223308365,0
,,,0.0,1,0,0,1.0,31,0,0,588.5313149452869,0
,,,0.0,0,5,0,5.0,47,0,0,610.8876598963683,0
,,,0.0,0,3,0,3.0,21,0,0,,0
1.0,0.0,0.0,0.0,0,3,1,3.0,30,0,0,539.4404955212825,1
,,,0.0,0,5,0,5.0,29,0,0,,0
,,,0.0,0,1,0,1.0,33,0,0,615.275435199675,0
,,,1.0,0,7,0,8.0,44,0,0,665.8756578660358,0
,,,0.0,0,2,1,3.0,34,0,0,566.6879829853025,0
,,,0.0,0,2,0,1.0,20,0,0,557.6140817994885,0
,,,2.0,0,2,8,7.0,29,0,0,587.1992366631756,0
,,,4.0,1,10,0,11.0,47,1,0,485.0933283037688,0
2.0,0.0,0.0,0.0,0,3,0,3.0,23,0,1,571.2612163531361,1
,,,1.0,0,7,0,6.0,31,0,0,,0
,,,6.0,0,0,13,12.0,31,0,0,435.00223099798086,0
,,,2.0,0,6,0,7.0,26,0,0,579.8754054014169,0
2.0,0.0,0.0,1.0,0,5,0,5.0,32,0,0,,1
,,,0.0,0,1,0,1.0,51,0,0,635.3341555217064,0
,,,1.0,0,1,0,3.0,23,0,0,572.6966468517686,0
,,,0.0,0,1,0,1.0,38,0,0,557.4141273766304,0
,,,0.0,0,3,0,2.0,20,0,0,519.3181356811838,0
,,,0.0,0,3,0,2.0,27,0,0,584.0365696101686,0
,,,1.0,0,3,0,3.0,31,0,0,567.6742597770632,0
1.0,0.0,0.0,1.0,6,0,0,6.0,19,0,0,541.7794137059703,1
,,,3.0,0,14,0,13.0,59,0,0,,0
,,,1.0,0,6,0,6.0,32,0,0,627.0548438959104,0
1.0,0.0,0.0,1.0,0,3,0,3.0,56,0,0,657.1695094891958,1
,,,0.0,0,1,0,1.0,40,1,0,595.6623552208491,0
,,,2.0,0,6,0,6.0,54,0,0,,0
,,,0.0,0,1,0,1.0,63,0,0,601.0725904014084,0
2.0,2.0,1.0,2.0,0,6,3,9.0,37,0,0,653.280525761654,1
,,,1.0,0,3,0,3.0,49,0,0,636.4370701143151,0
,,,1.0,0,4,0,3.0,31,0,0,632.9521775533601,0
,,,0.0,0,4,0,4.0,36,0,0,578.0273492906616,0
1.0,1.0,1.0,6.0,0,0,11,10.0,33,0,0,644.512331106939,1
,,,0.0,0,3,0,2.0,35,0,0,547.0572344208437,0
,,,0.0,0,0,1,1.0,33,0,0,632.9521775533601,0
2.0,1.0,0.0,0.0,0,3,0,4.0,23,0,1,484.510654103636,1
,,,1.0,0,3,0,3.0,28,0,0,598.7586553420414,0
,,,0.0,0,1,0,1.0,32,0,0,537.1498787585898,0
,,,2.0,0,1,5,4.0,43,0,0,611.9263300272063,0
,,,1.0,0,0,3,3.0,21,0,0,556.5111672068798,0
,,,3.0,0,8,0,8.0,45,0,0,600.5436816987657,0
,,,2.0,0,0,3,6.0,32,0,0,632.9521775533601,0
,,,1.0,3,1,0,4.0,40,0,0,653.280525761654,0
,,,3.0,0,4,1,3.0,31,1,1,444.44165334865824,0
,,,5.0,0,13,0,13.0,33,0,0,545.6621354591487,0
,,,0.0,0,0,5,5.0,45,0,0,627.0548438959104,0
,,,2.0,0,6,0,5.0,36,0,0,616.4441893317019,0
,,,1.0,0,6,0,6.0,38,0,0,,0
,,,1.0,2,0,0,1.0,35,0,0,569.2550830681716,0
1.0,0.0,0.0,1.0,0,6,0,6.0,27,0,0,,1
,,,0.0,0,1,1,2.0,26,0,0,563.0897799717172,0
,,,3.0,0,11,1,10.0,36,0,0,601.9791121973982,0
,,,1.0,0,6,0,6.0,30,1,0,591.281935869441,0
,,,0.0,0,2,0,2.0,19,0,1,,0
,,,1.0,0,0,2,3.0,18,0,0,,0
,,,2.0,8,0,0,6.0,35,0,0,,0
,,,0.0,0,0,3,3.0,22,1,0,514.3155956005115,0
,,,0.0,4,0,0,2.0,18,0,0,,0
2.0,2.0,1.0,0.0,0,6,0,5.0,47,0,1,464.15637108191817,1
1.0,1.0,1.0,1.0,0,8,0,7.0,31,0,0,599.5778295524135,1
,,,1.0,0,2,1,3.0,31,0,0,,0
1.0,1.0,0.0,1.0,0,8,0,8.0,48,0,0,612.2197381784796,1
,,,2.0,0,8,0,8.0,33,0,0,616.7108656983075,0
,,,1.0,0,3,0,3.0,28,0,0,564.9671223278916,0
2.0,0.0,0.0,3.0,0,9,0,8.0,22,0,0,,1
,,,0.0,0,2,0,2.0,45,1,0,576.5501823685315,0
1.0,0.0,0.0,1.0,0,3,0,3.0,26,1,0,569.9124686741974,1
