dpd_5_cnt,dpd_15_cnt,dpd_30_cnt,close_loans_cnt,federal_district_nm,payment_type_0,payment_type_1,payment_type_2,payment_type_3,payment_type_4,payment_type_5,past_billings_cnt,score_1,score_2,age,gender,bad_flag,rep_loan_date_year,rep_loan_date_month,rep_loan_date_day,rep_loan_date_weekday,first_loan_year,first_loan_month,first_loan_day,first_loan_weekday,first_overdue_date_year,first_overdue_date_month,first_overdue_date_day,first_overdue_date_weekday
1.0,0.0,0.0,0.0,6,0,5,0,0,0,0,4.0,,,22,0,0,2015,12,4,0,2015,7,14,5,2015.0,11.0,13.0,0
,,,1.0,6,0,0,3,0,0,0,3.0,,,21,0,0,2016,5,19,4,2015,12,16,6,,,,-1
,,,2.0,3,0,0,6,1,0,0,7.0,,,22,0,0,2016,8,29,1,2015,9,8,5,,,,-1
,,,0.0,2,0,2,0,0,0,0,2.0,,,31,1,0,2015,7,28,5,2015,5,6,6,,,,-1
1.0,1.0,1.0,2.0,3,0,1,9,0,0,0,8.0,,,22,0,0,2016,3,15,5,2015,5,15,0,2015.0,6.0,20.0,2
,,,0.0,0,0,4,0,0,0,0,4.0,,,20,0,1,2015,10,20,5,2015,6,1,1,,,,-1
,,,0.0,3,0,2,0,0,0,0,1.0,,,21,0,0,2015,12,6,3,2015,11,2,1,,,,-1
,,,1.0,2,0,0,0,8,0,0,7.0,,,24,0,0,2016,6,9,4,2015,10,13,5,,,,-1
,,,0.0,2,0,1,0,1,0,0,2.0,,,49,0,0,2015,10,23,0,2015,8,11,5,,,,-1
,,,1.0,3,0,0,3,0,0,0,3.0,,,31,0,0,2016,1,9,2,2015,8,23,3,,,,-1
,,,1.0,3,0,1,4,1,0,0,6.0,,,23,0,0,2016,2,21,3,2015,8,12,6,,,,-1
,,,1.0,3,0,0,7,0,0,0,7.0,,,21,0,0,2016,7,14,4,2015,11,20,0,,,,-1
,,,3.0,0,0,0,13,0,0,0,12.0,,,36,0,0,2016,3,19,2,2015,3,12,4,,,,-1
,,,3.0,6,0,8,3,1,0,0,9.0,,,22,0,0,2016,10,20,4,2015,12,6,3,,,,-1
,,,0.0,4,0,0,5,0,0,0,5.0,,,18,0,1,2016,4,7,4,2015,11,4,6,,,,-1
1.0,0.0,0.0,2.0,3,0,0,9,0,0,0,7.0,,,29,0,1,2016,6,10,0,2015,11,13,0,2016.0,3.0,13.0,3
,,,3.0,3,0,0,16,0,0,0,16.0,,,18,0,0,2016,10,4,5,2015,4,16,4,,,,-1
,,,2.0,1,0,6,0,3,0,0,7.0,,,33,0,0,2016,2,4,4,2015,4,15,6,,,,-1
1.0,0.0,0.0,1.0,2,0,0,0,3,0,0,3.0,,564.0841414468713,23,0,0,2016,7,11,1,2016,3,29,5,2016.0,4.0,30.0,2
1.0,0.0,0.0,3.0,3,0,3,9,0,0,0,7.0,,,23,0,1,2015,11,1,3,2015,3,17,5,2015.0,7.0,20.0,1
2.0,1.0,1.0,1.0,3,0,0,5,0,0,0,5.0,,,18,1,1,2016,3,8,5,2015,9,24,4,2015.0,11.0,30.0,1
,,,1.0,4,0,0,3,0,0,0,3.0,,583.1943198259886,59,0,0,2016,9,7,6,2016,2,19,0,,,,-1
,,,2.0,3,0,0,12,0,0,0,12.0,,,22,0,0,2016,10,31,1,2015,10,27,5,,,,-1
,,,2.0,2,0,0,6,0,0,0,6.0,,,29,0,0,2016,8,18,4,2015,12,13,3,,,,-1
,,,0.0,3,0,0,1,0,0,0,1.0,,,19,0,0,2015,6,18,4,2015,5,21,4,,,,-1
1.0,1.0,1.0,0.0,3,0,0,3,0,0,0,3.0,,,19,0,1,2015,9,2,6,2015,5,21,4,2015.0,7.0,20.0,1
,,,1.0,0,0,0,3,0,0,0,3.0,,,19,0,0,2015,11,10,5,2015,7,27,1,,,,-1
,,,1.0,3,0,0,10,0,0,0,6.0,,,25,0,0,2015,12,20,3,2015,6,8,1,,,,-1
2.0,1.0,0.0,1.0,3,0,0,6,0,0,0,6.0,,583.1943198259886,54,0,0,2016,10,5,6,2016,1,30,2,2016.0,3.0,1.0,5
,,,1.0,3,0,2,0,1,0,0,3.0,,,39,0,0,2016,12,19,1,2015,8,27,4,,,,-1
,,,0.0,2,0,1,0,0,0,0,,,,38,0,0,2015,12,15,5,2015,11,16,1,,,,-1
,,,2.0,3,0,0,6,0,0,0,6.0,,,44,0,0,2016,11,5,2,2015,5,23,2,,,,-1
,,,1.0,2,0,0,0,3,0,0,3.0,,563.0897799717172,25,0,0,2016,10,13,4,2016,4,29,0,,,,-1
2.0,1.0,1.0,2.0,4,0,6,3,0,0,0,7.0,,,24,0,1,2015,12,16,6,2015,5,13,6,2015.0,9.0,13.0,3
,,,3.0,0,0,0,6,0,0,0,13.0,,,30,0,0,2016,12,7,6,2015,8,20,4,,,,-1
,,,1.0,4,0,0,0,3,0,0,3.0,,556.7579444322735,32,0,0,2016,9,24,2,2016,2,28,3,,,,-1
,,,2.0,6,0,7,0,0,0,0,5.0,,,41,0,0,2016,7,26,5,2015,12,27,3,,,,-1
,,,2.0,4,0,0,6,0,0,0,6.0,,563.0897799717172,28,0,0,2016,8,3,6,2016,1,13,6,,,,-1
,,,0.0,6,0,0,1,0,0,0,1.0,,,45,0,0,2016,11,12,2,2016,9,19,1,,,,-1
,,,1.0,6,0,0,6,0,0,0,6.0,,572.3569999753098,36,0,0,2016,9,10,2,2016,2,23,5,,,,-1
,,,2.0,2,0,0,4,2,0,0,6.0,,572.3569999753098,25,0,0,2016,8,31,6,2016,1,17,3,,,,-1
1.0,1.0,1.0,0.0,6,0,0,0,1,0,0,3.0,,,18,0,1,2016,2,23,5,2015,11,11,6,2015.0,12.0,13.0,3
,,,,3,0,0,0,0,0,0,,,,28,0,0,2015,10,28,6,2015,10,27,5,,,,-1
,,,1.0,3,0,0,1,4,0,0,4.0,,,26,0,0,2016,1,24,3,2015,8,23,3,,,,-1
,,,0.0,6,0,0,0,0,0,0,,,,18,0,1,2015,9,28,1,2015,9,2,6,,,,-1
,,,1.0,1,0,0,4,0,0,0,3.0,,554.816921443279,23,0,0,2016,11,4,0,2016,2,22,1,,,,-1
1.0,0.0,0.0,1.0,2,0,0,4,0,0,0,4.0,,,18,0,0,2015,12,17,4,2015,6,9,5,2015.0,9.0,13.0,3
,,,2.0,3,0,0,0,4,0,0,4.0,,550.9577151066885,30,0,0,2016,6,7,5,2016,2,4,4,,,,-1
,,,0.0,3,0,0,4,0,0,0,1.0,,505.1454637059669,22,0,0,2016,6,1,6,2016,4,9,2,,,,-1
1.0,0.0,0.0,0.0,3,0,0,2,0,0,0,2.0,,546.4394377049397,41,0,1,2016,12,28,6,2016,10,20,4,2016.0,11.0,20.0,3
3.0,1.0,0.0,1.0,3,0,0,7,0,0,0,8.0,,,18,0,1,2016,3,9,6,2015,4,21,5,2015.0,9.0,20.0,3
,,,1.0,0,0,0,2,0,0,0,3.0,,,19,0,1,2016,8,8,1,2015,8,21,0,,,,-1
,,,4.0,2,0,28,0,0,0,0,13.0,,,20,0,0,2016,10,17,1,2015,5,20,6,,,,-1
1.0,0.0,0.0,2.0,3,0,10,0,3,0,0,10.0,,,29,0,0,2016,7,23,2,2015,8,27,4,2016.0,3.0,1.0,5
,,,0.0,3,0,0,0,0,0,0,1.0,,513.5134561907098,23,1,0,2016,12,8,4,2016,10,28,0,,,,-1
1.0,1.0,0.0,1.0,4,0,4,0,0,0,0,3.0,,,20,0,1,2015,8,4,5,2015,3,17,5,2015.0,6.0,20.0,2
,,,0.0,3,0,0,1,0,0,0,1.0,,527.5865440447329,29,1,1,2016,5,10,5,2016,3,13,3,,,,-1
,,,0.0,3,0,0,1,1,0,0,2.0,,538.1665791765013,21,0,0,2016,10,23,3,2016,7,24,3,,,,-1
,,,2.0,4,0,0,9,0,0,0,7.0,,,18,0,0,2016,4,10,3,2015,9,6,3,,,,-1
,,,0.0,3,0,0,3,0,0,0,2.0,,572.8758130986548,56,0,0,2016,10,22,2,2016,7,26,5,,,,-1
,,,0.0,3,0,0,2,0,0,0,2.0,,,28,0,0,2015,9,27,3,2015,7,1,6,,,,-1
,,,3.0,2,0,3,2,6,0,0,4.0,,572.3569999753098,24,0,0,2016,6,23,4,2016,1,25,1,,,,-1
,,,0.0,2,0,0,0,0,0,0,,,572.3569999753098,24,0,0,2016,2,5,0,2016,1,25,1,,,,-1
1.0,1.0,0.0,0.0,4,0,0,2,0,0,0,2.0,,529.213888912536,19,0,0,2016,10,31,1,2016,8,2,5,2016.0,10.0,7.0,0
,,,0.0,4,0,0,0,3,0,0,3.0,,,27,0,0,2016,3,30,6,2015,12,27,3,,,,-1
,,,10.0,6,0,0,29,0,0,0,18.0,,,38,0,0,2016,11,22,5,2015,3,4,6,,,,-1
,,,0.0,2,0,0,4,0,0,0,4.0,,564.0841414468713,23,0,0,2016,11,3,4,2016,6,29,6,,,,-1
2.0,2.0,0.0,2.0,3,0,0,12,0,0,0,11.0,,,21,0,1,2016,3,26,2,2015,3,29,3,2015.0,10.0,2.0,0
,,,0.0,4,0,0,0,4,0,0,4.0,,532.1048214464819,25,1,0,2016,7,4,1,2016,2,28,3,,,,-1
1.0,0.0,0.0,0.0,2,0,0,0,4,0,0,4.0,,,18,0,0,2016,3,12,2,2015,10,15,4,2016.0,1.0,22.0,0
,,,1.0,3,0,0,6,0,0,0,5.0,,,21,0,1,2016,3,21,1,2015,10,19,1,,,,-1
,,,0.0,2,0,0,0,1,0,0,1.0,,564.0841414468713,22,0,0,2016,6,9,4,2016,4,26,5,,,,-1
,,,0.0,6,0,0,1,0,0,0,,627.0548438959104,,30,0,0,2016,10,3,1,2016,9,2,0,,,,-1
,,,0.0,3,0,0,1,0,0,0,,556.6914125125181,,25,1,0,2016,10,2,3,2016,9,3,2,,,,-1
,,,0.0,6,0,0,1,0,0,0,,546.7521583238022,,40,1,0,2016,9,29,4,2016,9,14,6,,,,-1
,,,1.0,1,0,0,6,0,0,0,6.0,544.1793513696593,,43,0,0,2016,9,27,5,2015,10,7,6,,,,-1
1.0,1.0,1.0,3.0,3,0,0,8,3,0,0,9.0,509.9070601942066,,34,0,0,2016,8,29,1,2015,11,7,2,2016.0,6.0,6.0,1
,,,3.0,3,0,0,13,0,0,0,13.0,635.3341555217064,,63,0,0,2016,7,20,6,2015,5,3,3,,,,-1
,,,5.0,1,0,0,24,0,0,0,16.0,596.9139787876043,,51,0,0,2016,9,23,0,2015,3,25,6,,,,-1
,,,3.0,3,0,0,9,0,0,0,9.0,,529.213888912536,18,0,0,2016,11,23,6,2016,1,31,3,,,,-1
1.0,0.0,0.0,0.0,3,0,0,3,0,0,0,2.0,610.3941087217587,,24,1,0,2015,12,14,1,2015,10,13,5,2015.0,12.0,13.0,3
,,,0.0,6,0,0,3,0,0,0,5.0,610.8876598963683,,42,0,0,2016,9,18,3,2016,4,16,2,,,,-1
,,,0.0,4,0,0,1,0,0,0,1.0,433.2103695404403,,27,1,0,2016,4,17,3,2016,2,24,6,,,,-1
,,,0.0,3,0,0,0,0,0,0,1.0,601.9791121973982,,27,0,1,2015,11,17,5,2015,10,15,4,,,,-1
,,,2.0,3,0,0,3,3,0,0,5.0,508.0609190528736,,34,1,0,2016,9,24,2,2016,4,12,5,,,,-1
,,,1.0,3,0,0,1,0,0,0,1.0,527.8627811970698,,20,0,0,2015,7,4,2,2015,6,1,1,,,,-1
1.0,1.0,0.0,0.0,3,0,0,3,0,0,0,4.0,573.6829236435293,,25,0,1,2015,10,12,1,2015,6,7,3,2015.0,8.0,7.0,0
,,,4.0,2,0,5,0,0,0,0,6.0,,576.8752773770586,27,0,0,2016,8,16,5,2016,1,23,2,,,,-1
,,,3.0,4,0,0,9,0,1,0,10.0,582.8195181211313,,31,0,0,2016,8,19,0,2015,10,19,1,,,,-1
,,,1.0,3,0,0,3,0,0,0,3.0,,,20,0,1,2016,6,16,4,2015,11,13,0,,,,-1
,,,2.0,5,0,0,11,0,0,0,8.0,618.2204240524505,,26,0,0,2016,3,21,1,2015,6,18,4,,,,-1
2.0,0.0,0.0,2.0,3,0,1,7,0,0,0,7.0,,,42,0,0,2016,2,11,4,2015,3,7,2,2016.0,1.0,15.0,0
,,,,7,0,0,0,0,0,0,,596.692871859364,,59,0,0,2016,4,22,0,2016,4,21,4,,,,-1
1.0,1.0,0.0,0.0,6,0,0,1,0,0,0,1.0,601.9791121973982,,31,0,1,2016,5,11,6,2016,3,18,0,2016.0,4.0,22.0,0
1.0,0.0,0.0,1.0,3,0,0,2,1,0,0,4.0,,,18,0,0,2016,7,22,0,2015,11,7,2,2016.0,1.0,15.0,0
,,,0.0,-1,0,0,3,0,0,0,2.0,572.6966468517686,,32,0,0,2016,3,11,0,2015,12,31,4,,,,-1
,,,1.0,4,0,3,0,0,0,0,3.0,643.8731864869187,,49,0,0,2015,10,12,1,2015,6,26,0,,,,-1
,,,0.0,3,0,0,1,0,0,0,,615.275435199675,,45,0,0,2015,11,2,1,2015,10,28,6,,,,-1
,,,0.0,5,0,0,0,1,0,0,,553.5498143252104,,31,1,0,2015,11,9,1,2015,10,15,4,,,,-1
,,,1.0,2,0,0,3,0,0,0,3.0,524.7821949753684,,31,1,0,2016,5,15,3,2015,12,30,6,,,,-1
1.0,1.0,1.0,1.0,4,0,0,3,0,0,0,3.0,612.3230903950008,,36,0,0,2015,12,17,4,2015,5,25,1,2015.0,6.0,30.0,5
,,,0.0,4,0,2,0,0,0,0,2.0,462.9368200989045,,22,0,0,2015,11,7,2,2015,8,13,4,,,,-1
,,,1.0,3,0,3,0,0,0,0,3.0,625.8432460028794,,56,1,0,2016,9,23,0,2015,10,21,6,,,,-1
,,,0.0,2,0,0,0,2,0,0,2.0,591.3596659972143,,27,0,0,2016,4,27,6,2016,1,24,3,,,,-1
,,,1.0,6,0,0,4,0,0,0,5.0,597.3232248434088,,28,0,0,2016,11,19,2,2016,6,15,6,,,,-1
,,,2.0,0,0,0,8,0,0,0,7.0,572.6966468517686,,29,0,0,2016,11,6,3,2016,3,12,2,,,,-1
1.0,0.0,0.0,1.0,3,0,5,0,0,0,0,3.0,497.6625126615624,,54,0,0,2016,3,27,3,2015,11,30,1,2016.0,1.0,30.0,2
,,,2.0,6,0,0,7,0,0,0,6.0,530.9303819582392,,23,0,0,2016,4,5,5,2015,9,8,5,,,,-1
,,,0.0,6,0,0,3,0,0,0,3.0,532.0544183831076,,46,0,0,2016,9,7,6,2016,5,25,6,,,,-1
,,,2.0,2,0,0,0,5,0,0,5.0,615.275435199675,,27,0,0,2016,8,21,3,2016,3,4,0,,,,-1
,,,0.0,2,0,0,6,0,0,0,5.0,,563.0897799717172,37,0,0,2016,8,23,5,2016,2,22,1,,,,-1
,,,2.0,3,0,0,3,0,0,0,5.0,616.7108656983075,,40,0,0,2016,10,23,3,2015,9,17,4,,,,-1
,,,1.0,6,0,0,2,0,0,0,2.0,657.1695094891958,,49,0,0,2016,11,13,3,2016,8,31,6,,,,-1
,,,1.0,3,0,0,4,0,0,0,3.0,615.0305284597732,,22,0,1,2015,9,14,1,2015,5,4,1,,,,-1
,,,3.0,5,0,0,2,6,0,0,8.0,493.3291655519642,,30,1,0,2016,12,29,4,2015,12,30,6,,,,-1
,,,1.0,6,0,0,3,0,0,0,3.0,601.6259140670437,,44,1,0,2016,5,7,2,2015,11,13,0,,,,-1
3.0,2.0,0.0,4.0,3,0,0,10,0,0,0,7.0,571.8952956889558,,42,0,0,2016,4,27,6,2015,9,18,0,2015.0,12.0,20.0,3
,,,0.0,6,0,0,1,0,0,0,,,523.7368289617391,28,0,0,2016,4,2,2,2016,3,4,0,,,,-1
2.0,0.0,0.0,1.0,4,0,0,5,0,0,0,5.0,527.9105551027607,,32,0,0,2016,5,19,4,2015,11,8,3,2015.0,12.0,13.0,3
,,,0.0,6,0,0,0,0,0,0,,611.1168235858707,,24,0,0,2016,5,8,3,2016,4,14,4,,,,-1
,,,0.0,2,0,0,3,0,0,0,3.0,,576.8752773770586,28,0,0,2016,4,29,0,2016,1,12,5,,,,-1
,,,4.0,3,0,0,14,0,0,0,13.0,519.8336545834845,,27,1,0,2016,8,20,2,2015,6,19,0,,,,-1
,,,0.0,7,0,0,3,0,0,0,3.0,552.8617591353388,,26,1,0,2016,4,19,5,2016,1,15,0,,,,-1
,,,0.0,2,0,2,0,0,3,0,3.0,612.2197381784796,,38,0,0,2016,3,22,5,2015,11,26,4,,,,-1
,,,1.0,3,0,1,5,0,0,0,5.0,590.1522822772133,,38,0,0,2016,3,19,2,2015,8,30,3,,,,-1
1.0,0.0,0.0,0.0,2,0,0,3,0,0,0,3.0,619.6558545510832,,35,0,0,2016,10,5,6,2016,7,1,0,2016.0,8.0,6.0,2
,,,1.0,3,0,0,6,0,0,0,6.0,612.2197381784796,,37,0,0,2015,8,24,1,2015,2,13,0,,,,-1
2.0,1.0,0.0,1.0,3,0,0,5,0,0,0,4.0,495.3246363509498,,20,1,0,2016,9,29,4,2016,4,3,3,2016.0,5.0,9.0,1
,,,2.0,3,0,0,0,5,0,0,6.0,570.7456576540362,,47,0,0,2016,11,25,0,2015,8,15,2,,,,-1
,,,0.0,6,0,0,1,0,0,0,1.0,601.9791121973982,,27,0,0,2015,12,12,2,2015,10,16,0,,,,-1
,,,2.0,0,0,0,6,0,0,0,6.0,626.1964441332337,,57,0,0,2016,4,25,1,2015,5,18,1,,,,-1
,,,2.0,6,0,0,0,7,0,0,6.0,677.4978576974895,,52,0,0,2016,2,13,2,2015,3,8,3,,,,-1
,,,2.0,4,0,0,6,0,0,0,7.0,575.082029956162,,27,0,0,2016,11,28,1,2015,4,30,4,,,,-1
,,,0.0,4,0,2,0,0,0,0,2.0,615.5769979330498,,52,0,0,2015,11,27,0,2015,9,4,0,,,,-1
,,,2.0,3,0,0,5,0,0,0,5.0,588.7386214052847,,21,0,0,2015,9,18,0,2015,4,1,6,,,,-1
,,,2.0,2,0,0,10,0,0,0,9.0,576.7774310886117,,27,0,0,2016,9,1,4,2015,11,6,0,,,,-1
,,,3.0,4,0,0,6,0,0,0,5.0,527.6666430798009,,33,0,1,2016,6,7,5,2015,12,25,0,,,,-1
,,,0.0,2,0,0,5,0,0,0,5.0,620.602402020797,,57,0,0,2016,10,29,2,2016,5,24,5,,,,-1
,,,6.0,4,0,0,0,12,0,0,9.0,587.4284003526782,,36,0,0,2016,9,2,0,2015,11,4,6,,,,-1
,,,0.0,2,0,0,2,0,0,0,2.0,601.9791121973982,,46,0,0,2016,10,2,3,2016,7,30,2,,,,-1
,,,1.0,6,0,0,3,0,0,0,3.0,553.3916599830255,,27,0,0,2016,5,11,6,2015,11,25,6,,,,-1
,,,0.0,3,0,0,1,0,0,0,1.0,634.1683529093362,,39,0,0,2016,10,29,2,2016,9,16,0,,,,-1
2.0,1.0,1.0,0.0,1,0,0,1,3,0,0,4.0,572.6966468517686,,35,0,0,2016,5,7,2,2015,12,11,0,2016.0,1.0,15.0,0
,,,1.0,6,0,0,5,0,0,0,6.0,440.0812184399418,,37,0,0,2016,9,10,2,2016,3,6,3,,,,-1
,,,0.0,3,0,0,4,0,0,0,4.0,649.8367453331134,,63,0,0,2016,7,30,2,2016,3,20,3,,,,-1
,,,2.0,3,0,0,9,0,0,0,12.0,587.4284003526782,,26,0,0,2016,6,14,5,2015,3,10,5,,,,-1
,,,2.0,3,0,0,5,0,0,0,5.0,625.6194133972778,,28,0,0,2016,10,26,6,2016,5,3,5,,,,-1
,,,2.0,3,0,0,5,0,0,0,5.0,555.3162838877529,,50,0,0,2016,6,26,3,2015,11,11,6,,,,-1
,,,0.0,3,0,0,2,0,0,0,1.0,524.6290969231775,,47,0,0,2016,5,21,2,2016,4,7,4,,,,-1
,,,1.0,3,0,7,0,2,0,0,6.0,,,21,0,0,2015,12,10,4,2015,6,7,3,,,,-1
,,,0.0,2,0,0,2,0,0,0,2.0,,577.3940905004038,64,0,0,2016,7,6,6,2016,4,17,3,,,,-1
,,,1.0,7,0,1,5,0,0,0,6.0,542.1798898067877,,40,1,0,2016,7,5,5,2015,9,19,2,,,,-1
,,,0.0,-1,0,0,4,0,0,0,4.0,,561.2762218340224,37,0,0,2016,10,10,1,2016,5,28,2,,,,-1
,,,1.0,4,0,0,3,0,0,0,3.0,,523.7368289617391,27,0,1,2016,12,5,1,2016,8,26,0,,,,-1
,,,0.0,3,0,0,0,0,0,0,,558.5717290526418,,39,0,0,2016,11,4,0,2016,10,30,3,,,,-1
,,,4.0,3,0,0,11,0,0,0,6.0,540.5845303868433,,54,0,0,2016,7,11,1,2016,1,5,5,,,,-1
,,,1.0,4,0,0,6,0,0,0,6.0,,,22,0,0,2016,8,13,2,2015,11,3,5,,,,-1
,,,0.0,4,0,0,2,0,0,0,1.0,571.5690181275388,,57,0,0,2016,7,14,4,2016,5,19,4,,,,-1
,,,1.0,4,0,0,5,0,0,0,5.0,,,25,0,0,2016,5,6,0,2015,12,2,6,,,,-1
1.0,0.0,0.0,1.0,4,0,0,5,0,0,0,5.0,,,19,0,0,2016,5,3,5,2015,11,13,0,2016.0,3.0,13.0,3
,,,0.0,4,0,0,0,4,0,0,4.0,607.3192995812433,,43,0,0,2016,5,31,5,2016,1,4,1,,,,-1
,,,3.0,3,0,0,8,0,0,0,8.0,601.9791121973982,,24,0,0,2016,9,22,4,2015,9,1,5,,,,-1
1.0,0.0,0.0,4.0,3,0,0,18,0,0,0,16.0,580.1995904400724,,22,0,1,2016,8,12,0,2015,3,26,4,2016.0,5.0,30.0,1
,,,1.0,6,0,0,5,0,0,0,5.0,,,23,0,0,2015,12,11,0,2015,5,6,6,,,,-1
,,,1.0,2,0,0,3,0,0,0,3.0,611.1168235858707,,42,0,0,2016,4,14,4,2015,12,27,3,,,,-1
,,,2.0,3,0,0,6,0,0,0,6.0,636.1174903214848,,26,0,0,2015,9,14,1,2015,3,14,2,,,,-1
,,,2.0,3,0,0,11,0,0,0,11.0,547.2719431186141,,52,0,0,2016,10,25,5,2015,11,19,4,,,,-1
,,,1.0,1,0,0,5,0,0,0,5.0,612.3230903950008,,40,0,0,2016,5,4,6,2015,8,8,2,,,,-1
,,,0.0,2,0,0,0,1,0,0,2.0,591.5826730276252,,39,0,0,2016,8,20,2,2016,5,29,3,,,,-1
,,,0.0,3,0,0,4,0,0,0,4.0,609.6947430907812,,56,0,0,2015,8,1,2,2015,3,24,5,,,,-1
1.0,1.0,0.0,1.0,4,0,0,6,0,0,0,6.0,411.3031834386063,,34,1,1,2016,7,4,1,2015,12,30,6,2016.0,4.0,1.0,0
,,,0.0,3,0,0,3,0,0,0,2.0,532.9777743091015,,47,0,1,2016,3,17,4,2016,1,21,4,,,,-1
,,,0.0,3,0,0,1,0,0,0,1.0,550.8676342771994,,26,1,0,2016,11,13,3,2016,10,8,2,,,,-1
,,,0.0,2,0,0,1,0,0,0,,,563.0897799717172,26,0,0,2016,5,23,1,2016,4,30,2,,,,-1
3.0,1.0,1.0,1.0,3,0,0,5,0,0,0,5.0,472.4897142945365,,37,0,0,2016,4,16,2,2015,10,3,2,2015.0,12.0,6.0,3
,,,0.0,3,0,0,1,0,0,0,1.0,544.5927678396189,,56,1,0,2016,12,7,6,2016,11,1,5,,,,-1
,,,3.0,3,0,0,10,0,0,0,6.0,564.6411678315742,,25,1,0,2016,3,15,5,2015,7,16,4,,,,-1
,,,0.0,1,0,0,3,0,0,0,3.0,517.4617293370809,,40,1,0,2016,7,10,3,2016,3,29,5,,,,-1
1.0,0.0,0.0,0.0,6,0,0,1,1,0,0,2.0,553.0408484316549,,20,0,0,2015,9,28,1,2015,7,16,4,2015.0,9.0,20.0,3
,,,0.0,5,0,0,3,0,0,0,3.0,,559.335198845028,22,0,0,2016,9,20,5,2016,6,8,6,,,,-1
,,,3.0,6,0,0,14,0,0,0,13.0,560.5783821737658,,23,0,0,2016,10,23,3,2015,9,14,1,,,,-1
,,,0.0,3,0,0,1,0,0,0,,614.7063434211178,,31,0,0,2015,9,15,5,2015,8,31,1,,,,-1
,,,6.0,3,0,0,12,0,0,0,12.0,596.9139787876043,,49,0,0,2016,4,27,6,2015,4,16,4,,,,-1
,,,1.0,6,0,0,3,0,0,0,3.0,488.8981114779898,,52,1,0,2016,11,22,5,2016,8,19,0,,,,-1
,,,0.0,6,0,0,1,0,0,0,,467.6484313462344,,38,0,0,2016,2,7,3,2016,1,9,2,,,,-1
,,,0.0,0,0,0,0,0,0,0,,625.6194133972778,,36,0,0,2016,10,13,4,2016,9,28,6,,,,-1
,,,0.0,2,0,0,0,0,0,0,,601.6259140670437,,24,1,0,2016,7,22,0,2016,7,15,0,,,,-1
,,,0.0,3,0,0,1,0,0,0,1.0,,,19,0,0,2015,6,27,2,2015,5,2,2,,,,-1
,,,0.0,3,0,3,0,0,0,0,2.0,496.85652382967066,,28,0,0,2015,11,27,0,2015,9,15,5,,,,-1
,,,6.0,3,0,0,12,0,0,0,12.0,,,41,0,0,2016,8,20,2,2015,8,9,3,,,,-1
,,,1.0,6,0,7,0,0,0,0,6.0,634.3876080519926,,26,0,0,2016,2,29,1,2015,5,23,2,,,,-1
,,,0.0,5,0,0,5,0,0,0,5.0,591.8118367171278,,32,0,0,2016,5,1,3,2015,11,27,0,,,,-1
,,,0.0,1,0,0,3,0,0,0,3.0,542.7656904977308,,21,0,0,2015,12,16,6,2015,9,8,5,,,,-1
,,,1.0,7,0,0,8,0,0,0,7.0,,,43,0,0,2016,5,2,1,2015,9,12,2,,,,-1
,,,0.0,5,0,0,0,2,0,0,2.0,577.6123026622639,,30,0,0,2016,6,6,1,2016,3,29,5,,,,-1
1.0,1.0,0.0,2.0,3,0,0,9,0,0,0,9.0,619.6558545510832,,36,0,0,2016,10,22,2,2015,9,29,5,2016.0,1.0,1.0,0
